game_name	age	n	avg	std	gender
超级秒表	6	1	384.972972972973	NaN	全部
超级秒表	7	149	470.45527913878857	94.7216012090432	全部
超级秒表	8	1078	565.5370397256644	87.24242581113954	全部
超级秒表	9	1394	592.6204458803162	68.62334697916494	全部
超级秒表	10	441	604.9589466881208	56.26513542507599	全部
超级秒表	11	287	615.8855666784453	53.037013992055414	全部
超级秒表	12	92	639.3522153240881	42.663233272355754	全部
超级秒表	13	202	676.9069813848982	30.641116255854296	全部
超级秒表	14	26	667.7347037647316	33.379906889419175	全部
超级秒表	15	2	701.7564102564102	30.188020273733407	全部
倒背数	6	40	2.956359126984127	1.0592256187571094	全部
倒背数	8	255	3.9235355253212396	1.0810317832368772	全部
倒背数	9	450	3.9532491472422824	1.1417244280868866	全部
倒背数	10	265	4.390822259136213	1.1153201781334334	全部
倒背数	11	229	4.547286283721261	1.2757931743641053	全部
倒背数	12	64	4.399258391881343	1.1067815839119741	全部
倒背数	13	204	6.692185289957568	1.4775743690455427	全部
倒背数	14	26	6.588461538461538	1.0840845521633986	全部
倒背数	15	2	8.166666666666666	1.5320646925708532	全部
方块速记	6	1	5.533333333333333	NaN	全部
方块速记	7	138	5.555167548500882	0.6954288069729369	全部
方块速记	8	1048	6.3814414290306285	0.8059327465762581	全部
方块速记	9	1402	6.8005571705426355	0.8387316027774658	全部
方块速记	10	441	7.2072133637053915	0.8507740259376432	全部
方块速记	11	272	7.65274656679151	0.9387590398741062	全部
方块速记	12	92	7.841575091575091	0.9107600056091182	全部
火眼金睛	6	1	8	NaN	全部
火眼金睛	7	2	8.5	1.6499158227686106	全部
火眼金睛	8	1023	12.261012491781722	2.53902886375375	全部
火眼金睛	9	1409	14.0670964660936	2.7519000738859223	全部
火眼金睛	10	443	15.940639269406393	2.509484150480051	全部
火眼金睛	11	424	17.2824184566428	2.9158964279700395	全部
火眼金睛	12	156	18.31827956989247	2.5912890860886892	全部
火眼金睛	13	2	19	4.242640687119285	全部
卡片分类	6	58	1.279686823405451	0.11407211252098894	全部
卡片分类	7	119	1.0887248564173269	0.27490178383320024	全部
卡片分类	8	1311	1.3757559728807731	0.1439530294450742	全部
卡片分类	9	1858	1.4208605495066042	0.12671026417855266	全部
卡片分类	10	707	1.455876375462423	0.11376465349218028	全部
卡片分类	11	500	1.5001166248353526	0.12462616876137823	全部
卡片分类	12	156	1.5312306980623474	0.1055420488370544	全部
卡片分类	13	204	1.6293318773987486	0.1450029217442737	全部
卡片分类	14	26	1.613510071499941	0.14077261329392732	全部
卡片分类	15	2	1.615435580703608	0.07867025160053473	全部
快速归类	6	51	37.965986394557824	7.030108824416901	全部
快速归类	8	211	49.66025641025641	8.795399760031781	全部
快速归类	9	436	61.06819923371648	14.217648311288386	全部
快速归类	10	265	67.937106918239	12.665213998933364	全部
快速归类	11	230	74.73568281938326	12.459082858886338	全部
快速归类	12	64	80.15104166666667	11.291695952635834	全部
快速归类	13	204	92.58872305140962	10.202723218997535	全部
快速归类	14	26	95.78260869565217	7.110675354457309	全部
快速归类	15	2	99.33333333333333	2.8284271247461903	全部
魔法师高级	10	150	0.7104772557792692	0.11432254689527013	全部
魔法师高级	11	265	0.7444118923611112	0.09354450201659617	全部
魔法师高级	12	92	0.7484737484737485	0.10141849198835487	全部
魔法师高级	13	202	0.8198632049134562	0.06596073276611554	全部
魔法师高级	14	26	0.7944444444444444	0.07002075676969524	全部
魔法师高级	15	2	0.7777777777777778	0.09820927516479823	全部
魔法师中级	6	43	0.6208010335917312	0.15152610413411297	全部
魔法师中级	7	2	0.6875	0.2062394778460764	全部
魔法师中级	8	973	0.7255113179363438	0.11464988237420333	全部
